flow_rate_gpm,annulus,ecc,di/do,test_fluid,shear_pa,k,m,diff_p
18.5,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,37.62
17.67,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,36.97
16.92,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,35.79
16.09,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,34.97
15.17,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,34.18
14.41,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,33.56
13.44,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,32.41
12.39,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,31.17
11.31,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,29.77
10.22,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,28.49
8.97,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,27.22
7.9,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,25.2
6.72,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,23.27
5.53,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,21.15
4.25,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,18.57
3.49,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,16.61
2.42,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,13.97
1.82,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,11.85
1.29,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,9.64
0.83,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,7.35
0.62,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,6.08
0.42,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,4.72
0.29,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,3.81
0.19,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,2.84
0.1,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,1.84
0.06,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,1.27
0.03,annulus_1,1.0,0.27,XCD-PAC3,0.0,0.99,0.48,0.79
18.5,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,48.34
17.67,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,46.6
16.92,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,44.87
16.09,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,43.66
15.17,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,41.77
14.41,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,40.68
13.44,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,39.26
12.39,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,37.94
11.31,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,36.58
10.22,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,34.7
8.97,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,32.15
7.9,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,30.72
6.72,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,28.39
5.53,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,25.99
4.25,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,22.71
3.49,annulus_2,1.0,0.36,XCD-PAC3,0.0,0.99,0.48,20.6
